cliente;unb;comercial;operacao;tipo_operacao
40;710;COM DF;CDD Brasilia;CDD
139;111;COM MT Centro;CDD Rondonopolis;CDD
740;849;COM AM CAP;CDD Manaus;CDD
872;455;COM MT Centro;CDD Cuiaba;CDD
925;761;COM NO CAP;CDD Porto Velho;CDD
10700;107000;COM MS;Ovidio PA;REVENDA
29537;295370;COM TOGO Norte;Temar;REVENDA
32352;323527;COM MT INT;Disbenop;REVENDA
36038;360384;COM MS;Ovidio TL;REVENDA
37646;376469;COM AM INT;Santabier;REVENDA
49535;495352;COM AM INT;Amascol;REVENDA
54264;542644;COM GYN;Regra AG;REVENDA
59971;599719;COM TOGO Norte;Cemar DI;REVENDA
60074;600741;COM GYN;Regra IP;REVENDA
60663;606634;COM TOGO Norte;Maxi;REVENDA
61333;613339;COM MT SUL;Disvale;REVENDA
61367;613673;COM NO INT;Jurua CR;REVENDA
61377;613770;COM NO INT;Jurua FL;REVENDA
61913;619132;COM MS;Rotele AQ;REVENDA
63785;637858;COM MS;Rotele CX;REVENDA
66926;669261;COM TOGO Norte;UD Porangatu;REVENDA
66961;669610;COM TOGO Norte;UD Ceres;REVENDA
69800;698008;COM MS;Gran Dourados;REVENDA
70313;703133;COM AM INT;Bramam Parintins;REVENDA
70335;703354;COM AM INT;Bramam Itaituba;REVENDA
72400;724009;COM GO SUDESTE;Pereira;REVENDA
73400;734004;COM GO SUDESTE;Brasbel;REVENDA
74179;741795;COM TOGO Norte;UD Uruacu;REVENDA
85789;857890;COM MS;Rotele CB;REVENDA
87892;878928;COM MT INT;Disbev;REVENDA
97075;970751;COM MT INT;Disbev Colíder;REVENDA
98728;987280;COM GO Sul;Lima - Rio Verde;REVENDA
99059;990590;COM NO INT;RDC Ariquemes;REVENDA
99245;992453;COM GO Sul;Dicebel;REVENDA
99246;992461;COM NO CAP;GP7 NORTE;REVENDA
112000;1120000;COM GO Sul;Rossafa;REVENDA
113100;1131001;COM MT SUL;Cruzeiro;REVENDA
132000;1320009;COM MS;Rotele CG;REVENDA
158200;1582003;COM NO INT;Cone Sul;REVENDA
171600;1716000;COM GYN;Nova Anapolis;REVENDA
186300;1863002;COM TOGO Norte;Cemar GU;REVENDA
